Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-12,139.6270717872822,142.5340657167403,139.6270717872822,142.21014404296875,949600,0.0,0.0
2015-03-13,142.47590229483424,143.14867431036356,141.43769030440075,141.76161193847656,707800,0.0,0.0
2015-03-16,142.52576480981463,144.61049018295608,142.3015074434647,144.20350646972656,1051400,0.0,0.0
2015-03-17,143.76332364801124,144.65203941733344,143.1403962979781,143.57229614257812,452400,0.0,0.0
2015-03-18,143.68855453596726,146.32976003318095,142.63372749455445,145.8978729248047,1126900,0.0,0.0
2015-03-19,145.34971820693377,146.8945785759585,144.0540313181046,145.17529296875,952100,0.0,0.0
2015-03-20,145.81482228573847,149.5690010786591,145.81482228573847,149.36135864257812,1304200,0.0,0.0
2015-03-23,149.63544824260987,150.78162587229164,148.67198429714753,150.23345947265625,1442900,0.0,0.0
2015-03-24,150.29988574883663,150.90619802986868,148.9045221808947,149.74339294433594,901800,0.0,0.0
2015-03-25,149.7433806437241,150.7234593163576,146.78655503299157,146.91114807128906,933200,0.0,0.0
2015-03-26,146.82812483904038,147.58394638122172,145.39954380215516,146.14706420898438,642000,0.0,0.0
2015-03-27,145.99650708043214,147.03378704392674,144.90067788673326,145.65353393554688,582700,1.25,0.0
2015-03-30,146.30599840294607,147.58586122039594,145.68698746054008,147.3516387939453,522000,0.0,0.0
2015-03-31,146.82462688985078,147.78661082710514,145.62840779042045,145.7622528076172,1171100,0.0,0.0
2015-04-01,145.88772190753562,146.38127380404381,144.32344818521756,144.64132690429688,606400,0.0,0.0
2015-04-02,144.94249080627915,146.78281532628677,144.46567266515316,146.1721649169922,655600,0.0,0.0
2015-04-06,146.37289308772628,147.585833157819,146.01319898841544,147.06719970703125,531300,0.0,0.0
2015-04-07,146.6823928741254,146.9500700923985,144.32342276952915,144.3736114501953,732700,0.0,0.0
2015-04-08,144.90062722117855,145.7705941903766,144.5827485381246,145.45272827148438,587000,0.0,0.0
2015-04-09,144.94247424094246,145.07630649381548,140.9690412423383,141.56295776367188,865700,0.0,0.0
2015-04-10,142.28235616427457,143.3112753541783,140.7097219175252,140.79336547851562,658100,0.0,0.0
2015-04-13,140.79335905535513,141.58804305140706,140.29981994628906,140.29981994628906,481500,0.0,0.0
2015-04-14,140.6260580869563,142.55003858533453,140.6260580869563,141.81390380859375,419800,0.0,0.0
2015-04-15,141.45422619534656,141.93939206656069,140.0823466196501,140.5340576171875,693900,0.0,0.0
2015-04-16,140.0739708300393,142.17362470343974,139.67244853225966,141.40402221679688,420300,0.0,0.0
2015-04-17,140.95230483780952,141.78045650584258,139.9066645942056,140.79336547851562,694100,0.0,0.0
2015-04-20,140.83518090618313,141.6633324993312,140.22453063310166,140.7431640625,408600,0.0,0.0
2015-04-21,141.06103523475545,142.08158098697578,141.06103523475545,141.41236877441406,494900,0.0,0.0
2015-04-22,141.24511071760796,143.33639152323337,140.83521508460595,142.74246215820312,425700,0.0,0.0
2015-04-23,142.7340775227697,143.72115576951143,142.36601012087857,143.23597717285156,391400,0.0,0.0
2015-04-24,143.1774076010864,144.32342504154101,142.95990629589454,143.26942443847656,397200,0.0,0.0
2015-04-27,143.79643370383462,144.81697954956093,143.35308328477544,143.503662109375,873200,0.0,0.0
2015-04-28,143.4450975517212,144.5158320649997,141.57967906182915,143.2025146484375,873000,0.0,0.0
2015-04-29,141.9728506989111,143.1523359567815,139.1287143427307,140.32492065429688,953100,0.0,0.0
2015-04-30,139.63061512060335,140.8686496046619,136.71955623380933,137.472412109375,1274400,0.0,0.0
2015-05-01,138.37588082188375,140.91888568686986,138.09983019589845,140.22457885742188,760100,0.0,0.0
2015-05-04,141.0861714358578,142.71736791258897,140.75993214051158,141.33712768554688,840300,0.0,0.0
2015-05-05,140.87702024692115,140.93556946255114,136.64427062985214,136.93704223632812,760000,0.0,0.0
2015-05-06,137.0290450643808,138.1834358469601,136.16743862247822,136.71116638183594,836200,0.0,0.0
2015-05-07,136.9621317069059,139.99031439079192,136.9621317069059,138.8442840576172,687500,0.0,0.0
2015-05-08,141.40402858279808,142.54168578119405,140.50896709076832,140.96067810058594,598900,0.0,0.0
2015-05-11,140.2412252726488,141.01918803438892,137.44727838398288,137.66477966308594,508500,0.0,0.0
2015-05-12,136.7948405570865,139.4298489105503,135.8663114942554,138.233642578125,699500,0.0,0.0
2015-05-13,138.61844891377467,140.19945653688958,136.73629637367767,137.26329040527344,739500,0.0,0.0
2015-05-14,137.81538403338735,139.93175886417825,137.27165621266897,139.85647583007812,512500,0.0,0.0
2015-05-15,140.35839077151533,141.57970432460993,139.8899459338893,140.91049194335938,567500,0.0,0.0
2015-05-18,140.40858081077076,141.39565910060634,139.923402192929,140.40020751953125,731400,0.0,0.0
2015-05-19,139.93177540710482,141.03597776109942,139.22910814410716,140.2161865234375,317000,0.0,0.0
2015-05-20,140.5507658983345,141.0526654972749,139.67242564498684,140.0823211669922,559600,0.0,0.0
2015-05-21,140.08234145663826,140.49222427384979,138.22528331400932,138.52642822265625,575600,0.0,0.0
2015-05-22,138.63513826420314,139.91500067764696,137.78190516468118,139.061767578125,392800,0.0,0.0
2015-05-26,138.81083802264402,138.92794922135346,137.30511349340614,137.88230895996094,615000,0.0,0.0
2015-05-27,138.48459006887592,140.4420254517925,138.124883204197,140.0655975341797,449000,0.0,0.0
2015-05-28,140.05723697523376,140.69299444106463,139.72263718786448,140.3500213623047,436100,0.0,0.0
2015-05-29,140.60933295383143,141.1447002524804,138.45950323231548,139.27928161621094,1556100,0.0,0.0
2015-06-01,139.5302618779084,141.06108100292295,138.81922127807968,140.7766571044922,673700,0.0,0.0
2015-06-02,140.2078041530751,140.433666011054,138.04960124080358,138.31729125976562,482500,0.0,0.0
2015-06-03,138.23365416340897,138.29221614976274,134.60319393440787,135.01307678222656,728000,0.0,0.0
2015-06-04,133.39025998909693,135.59027870818937,133.39025998909693,134.6868438720703,525200,0.0,0.0
2015-06-05,133.57426075448626,135.90813691919354,132.7712161977205,134.7202911376953,864000,0.0,0.0
2015-06-08,134.8457552335348,135.50660697607634,133.9005051892285,134.63662719726562,989500,0.0,0.0
2015-06-09,134.4944470950878,135.41461573432656,133.69140243190193,134.3856964111328,677300,0.0,0.0
2015-06-10,134.1681761596203,136.12561142409874,133.33166405368982,134.96286010742188,503600,0.0,0.0
2015-06-11,135.7575493164838,136.75300080338545,135.73245497346628,136.31802368164062,729600,0.0,0.0
2015-06-12,136.29291402196745,136.73627719001857,135.5735258500555,135.9666748046875,413000,0.0,0.0
2015-06-15,135.80778122427287,136.24275844356995,134.84578439092687,136.15074157714844,1099200,0.0,0.0
2015-06-16,136.46860633903555,138.30893071441858,134.98797610009606,137.6146240234375,605800,0.0,0.0
2015-06-17,137.65644089964175,139.59715526431802,136.60244015865138,139.37965393066406,700400,0.0,0.0
2015-06-18,139.78121813456357,142.04815944449035,139.65573362415327,140.7766571044922,748800,0.0,0.0
2015-06-19,140.31657416983197,140.550796586644,138.74392700195312,138.74392700195312,881900,0.0,0.0
2015-06-22,139.20403314072928,139.55536682105068,137.915796882051,137.9492645263672,1048600,0.0,0.0
2015-06-23,137.64810835748474,137.84886315039472,136.10055541992188,136.10055541992188,691300,0.0,0.0
2015-06-24,136.33471146684647,137.18795721372567,135.63204450549145,135.78262329101562,467700,0.0,0.0
2015-06-25,136.01689402470453,137.04580049606722,134.93778609752587,135.0967254638672,535300,0.0,0.0
2015-06-26,135.63625037681132,136.68162110325466,134.692052858557,136.50457763671875,738400,1.25,0.0
2015-06-29,142.5744551226993,142.5744551226993,134.11036682128906,134.11036682128906,721100,0.0,0.0
2015-06-30,135.3749599754485,135.77961436368514,134.0429592144496,134.77639770507812,628900,0.0,0.0
2015-07-01,135.40020557975546,137.37290954589844,134.0176250824937,137.37290954589844,775400,0.0,0.0
2015-07-02,138.55315868447707,139.87672030112734,137.3813375779784,138.24122619628906,561400,0.0,0.0
2015-07-06,137.6089502936715,139.27817311135357,137.53308003752034,139.05897521972656,526900,0.0,0.0
2015-07-07,139.68284267014465,141.94217630387234,138.89038560455356,141.14971923828125,640300,0.0,0.0
2015-07-08,140.51743181008268,141.44477785899986,139.67439462514943,140.4921417236328,566900,0.0,0.0
2015-07-09,141.41948145930715,143.91487707534986,139.94416645153495,140.51742553710938,532000,0.0,0.0
2015-07-10,140.79559691876162,142.18661560973365,140.16331920388063,141.0400848388672,635400,0.0,0.0
2015-07-13,142.29620441636055,142.93692074593866,140.21391493640155,141.09066772460938,708600,0.0,0.0
2015-07-14,141.44478743449898,142.2793989350258,139.505799205142,141.79043579101562,667800,0.0,0.0
2015-07-15,141.79042377523083,142.7514856351239,140.95581234543172,142.15292358398438,421800,0.0,0.0
2015-07-16,142.48171980541994,143.6113994874485,142.2372446649953,143.1814422607422,401500,0.0,0.0
2015-07-17,142.76840009697145,143.316369304703,142.07710319985208,142.65037536621094,455600,0.0,0.0
2015-07-20,141.97590247674478,143.2657484048692,141.68927290687873,142.8105010986328,535900,0.0,0.0
2015-07-21,143.33323241354415,144.5809242513026,141.9253614003424,142.14454650878906,587200,0.0,0.0
2015-07-22,142.3384277495485,144.02450250478236,142.2035386818347,143.34164428710938,459900,0.0,0.0
2015-07-23,143.02126296871938,143.35004697857076,141.04013316813243,142.1107940673828,455700,0.0,0.0
2015-07-24,141.79887164650006,143.13929786960122,141.15816792781905,142.700927734375,437700,0.0,0.0
2015-07-27,142.8695592382428,144.28585599509336,141.93378714399125,142.14454650878906,573000,0.0,0.0
2015-07-28,142.9201083610343,145.12886190760454,142.16137995817937,143.22360229492188,767500,0.0,0.0
2015-07-29,143.42593973184938,144.20995824498314,142.0264947288333,143.83901977539062,820900,0.0,0.0
2015-07-30,143.51020385549253,144.85064263889777,142.79363002911913,144.35324096679688,605000,0.0,0.0
2015-07-31,145.67681946567882,146.81491187941938,145.1541276947711,145.2890167236328,733300,0.0,0.0
2015-08-03,145.3733316492656,146.9498070407327,145.03610906303845,146.66317749023438,636700,0.0,0.0
2015-08-04,146.35970598853496,147.34605808468115,145.26375492712975,145.55038452148438,514800,0.0,0.0
2015-08-05,145.87916398851362,146.32598557761474,144.58931799055287,145.32276916503906,467300,0.0,0.0
2015-08-06,145.11200696378157,145.90446404246566,143.56924724195076,145.65155029296875,510300,0.0,0.0
2015-08-07,145.59251129094156,146.56201171875,144.3110912381846,146.56201171875,476600,0.0,0.0
2015-08-10,147.01726259287494,147.43035546811197,146.01404622710453,146.48614501953125,660900,0.0,0.0
2015-08-11,146.1405196206149,148.72021167429537,146.07307509365046,147.7169952392578,795700,0.0,0.0
2015-08-12,147.29545498502824,148.31552275436505,146.3343931282989,148.1216278076172,734500,0.0,0.0
2015-08-13,147.5399453057065,149.3019029443622,147.05942075969324,148.44200134277344,600300,0.0,0.0
2015-08-14,148.46730826948087,149.58854948897903,147.12688196985664,149.3187713623047,811100,0.0,0.0
