,Position,Games,P/G,Total Points
Jaeden Graham,RB,16.0,1.86875,29.9
Cordarrelle Patterson,,16.0,1.85,29.6
Reggie Bonnafon,,16.0,1.83125,29.3
Trey Edmunds,,11.0,1.818181818181818,20.0
Stephen Carlson,RB,9.0,1.7888888888888892,16.1
Richie James,,16.0,1.775,28.4
Travis Homer,,16.0,1.75,28.0
Tyler Kroft,WR,11.0,1.7363636363636366,19.1
Darrell Henderson,,13.0,1.7230769230769232,22.4
Damion Willis,,10.0,1.7200000000000002,17.200000000000006
DeAndre Carter,,16.0,1.7,27.2
Deon Cain,WR,13.0,1.646153846153846,21.4
Ben Braunecker,,11.0,1.6272727272727272,17.9
Wendell Smallwood,,15.0,1.5666666666666669,23.5
Rashard Higgins,WR,10.0,1.55,15.5
Virgil Green,WR,15.0,1.52,22.8
Andrew Beck,TE,16.0,1.51875,24.3
Marcell Ateman,,11.0,1.5090909090909093,16.6
Troy Fumagalli,WR,11.0,1.4363636363636365,15.8
Mack Hollins,,16.0,1.40625,22.5
MyCole Pruitt,WR,16.0,1.3125,21.0
Daniel Brown,,16.0,1.2625,20.2
Ryan Switzer,RB,9.0,1.1888888888888889,10.7
Patrick Ricard,,16.0,1.16875,18.7
Javorius Allen,,10.0,1.15,11.5
Danny Vitale,,15.0,1.1333333333333333,17.0
Alec Ingold,,16.0,1.13125,18.1
Braxton Berrios,RB,16.0,1.09375,17.5
Mo Alie-Cox,,16.0,1.08125,17.3
J.P. Holtz,,15.0,1.0733333333333337,16.1
Mike Davis,,12.0,0.9916666666666668,11.9
Blake Bell,,15.0,0.98,14.7
Zach Line,,12.0,0.9666666666666668,11.6
D'Ernest Johnson,,16.0,0.95,15.2
Robert Foster,,13.0,0.9461538461538462,12.3
Tyler Conklin,WR,15.0,0.92,13.8
DeAndrew White,,10.0,0.91,9.1
Andre Patton,,13.0,0.8923076923076925,11.6
Drew Sample,,9.0,0.8888888888888888,8.0
Deon Yelder,,9.0,0.8888888888888888,8.0
Luke Stocker,,15.0,0.8866666666666667,13.3
Durham Smythe,,16.0,0.84375,13.5
Derek Watt,,16.0,0.825,13.2
Deonte Harris,,14.0,0.8214285714285714,11.5
Lee Smith,,16.0,0.81875,13.1
Troymaine Pope,,14.0,0.8142857142857143,11.4
Ty Sambrailo,,13.0,0.8076923076923077,10.5
Devine Ozigbo,,10.0,0.8,8.0
Devontae Booker,,16.0,0.7875000000000001,12.6
Kenjon Barner,,14.0,0.7857142857142857,11.0
Trent Sherfield,,16.0,0.75,12.0
Nick Bellore,,14.0,0.7357142857142858,10.3
KhaDarel Hodge,WR,16.0,0.7250000000000001,11.6
Donte Moncrief,RB,8.0,0.725,5.8
Ventell Bryant,TE,12.0,0.7083333333333334,8.5
Elandon Roberts,WR,16.0,0.675,10.8
Gunner Olszewski,,8.0,0.675,5.4
Lance Kendricks,RB,12.0,0.6666666666666666,8.0
Jason Moore,WR,10.0,0.63,6.3
Cethan Carter,RB,15.0,0.62,9.3
Patrick DiMarco,FB,16.0,0.6125,9.8
Alex Armah,,16.0,0.60625,9.7
Diontae Spencer,,16.0,0.60625,9.7
Nick Bawden,,10.0,0.5700000000000001,5.7
Taiwan Jones,,11.0,0.5363636363636364,5.9
Pharaoh Brown,WR,9.0,0.5222222222222223,4.7
Tanner Hudson,RB,9.0,0.5111111111111111,4.6
Johnny Mundt,,13.0,0.5076923076923077,6.6
Dwayne Washington,,16.0,0.475,7.6
Dennis Kelly,WR,15.0,0.4733333333333333,7.1
Darius Jennings,,8.0,0.4625,3.7
Jason Sanders,WR,16.0,0.44375,7.1
Vita Vea,,16.0,0.44375,7.1
Christian Wilkins,WR,16.0,0.44375,7.1
Dion Dawkins,RB,16.0,0.44375,7.1
Andre Roberts,,13.0,0.4384615384615385,5.7
Stanley Morgan Jr.,LG,11.0,0.4363636363636363,4.8
Trevon Wesco,,16.0,0.43125,6.9
Elijhaa Penny,,16.0,0.425,6.800000000000002
Tyler Ervin,,10.0,0.41,4.1
Anthony Levine,,16.0,0.3875,6.2
Johnny Holton,,16.0,0.375,6.0
Chris Moore,,14.0,0.3642857142857143,5.1
Cody Core,WR,16.0,0.3625,5.800000000000002
T.J. Logan,,12.0,0.3583333333333333,4.3
Anthony Sherman,,16.0,0.31875,5.1
Fred Brown,,13.0,0.3153846153846154,4.1
Ashton Dulin,WR,13.0,0.2846153846153846,3.7
Antony Auclair,RB,8.0,0.2625,2.1
Nick Scott,,16.0,0.24375,3.9
Levine Toilolo,WR,13.0,0.2307692307692308,3.0
Mike Thomas,WR,16.0,0.2125,3.4000000000000004
Keith Smith,FB,16.0,0.19375,3.1
Krishawn Hogan,,8.0,0.175,1.4
Ben Koyack,TE,11.0,0.17272727272727273,1.9
De'Anthony Thomas,,14.0,0.15,2.1
Chris Manhertz,WR,15.0,0.14,2.1
Eric Tomlinson,WR,8.0,0.1375,1.1
Kevin Byard,RB,16.0,0.13125,2.1
Jamal Agnew,,13.0,0.13076923076923078,1.7
Darrell Daniels,WR,11.0,0.12727272727272726,1.4
Senorise Perry,,11.0,0.12727272727272726,1.4
Cody Davis,,16.0,0.10625,1.7000000000000002
Ryan Nall,,8.0,0.1,0.8
Dalton Schultz,WR,16.0,0.1,1.6
Jordan Scarlett,,9.0,0.1,0.9
Tyrod Taylor,,8.0,0.08750000000000001,0.7000000000000001
De'Lance Turner,,8.0,0.07500000000000001,0.6000000000000001
Michael Deiter,WR,16.0,0.0625,1.0
Buddy Howell,,16.0,0.0625,1.0
Kaleb McGary,,16.0,0.04375,0.7
Garrett Bradbury,TE,16.0,0.0375,0.6
Wyatt Teller,,15.0,0.03333333333333333,0.5
Colin Jones,,16.0,0.03125,0.5
Erik Harris,FS,16.0,0.025,0.4
Matt Haack,,16.0,0.0125,0.2
Brett Kern,,16.0,0.0,0.0
Quenton Nelson,LG,16.0,0.0,0.0
Bryan Anger,,14.0,-0.03571428571428571,-0.5
Jordan Berry,,16.0,-0.05,-0.8
