Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Adam Humphries,220,TEN,WR,26,12,3,0,0,0,0,0,1,1,1.0,0,47,37,374,10.11,2,1,0,2,,,50.0,86.5,89.5,68.0,,85,,HumpAd00,4.166666666666667,7.208333333333333
Willie Snead,185,BAL,WR,27,16,11,0,0,0,0,0,2,2,1.0,0,46,31,339,10.94,5,0,0,5,,,64.0,95.1,98.1,79.6,,72,,SneaWi00,4.0,5.94375
Tajae Sharpe,196,TEN,WR,25,15,6,0,0,0,0,0,0,0,,0,35,25,329,13.16,4,0,0,4,,,57.0,81.9,84.9,69.4,,77,,SharTa00,3.8,5.46
Allen Hurns,212,MIA,WR,28,14,7,0,0,0,0,0,0,0,,0,47,32,416,13.0,2,1,1,2,,,52.0,83.6,87.6,67.6,,83,,HurnAl01,3.7142857142857144,5.971428571428571
Paul Richardson,260,WAS,WR,27,10,6,0,0,0,0,0,1,0,0.0,0,42,28,245,8.75,2,0,0,2,,,37.0,64.5,67.5,50.5,,99,,RichPa01,3.7,6.45
Marvin Hall,271,DET,WR,26,9,0,0,0,0,0,0,1,7,7.0,0,11,7,261,37.29,1,0,0,1,,,33.0,39.8,42.8,36.3,,104,,HallMa02,3.6666666666666665,4.422222222222222
Damiere Byrd,249,ARI,WR,26,11,3,0,0,0,0,0,0,0,,0,46,32,359,11.22,1,1,1,1,,,40.0,71.9,75.9,55.9,,94,,ByrdDa00,3.6363636363636362,6.536363636363637
Marquez Valdes-Scantling,191,GNB,WR,25,16,10,0,0,0,0,0,2,9,4.5,0,56,26,452,17.38,2,0,0,2,,,58.0,84.1,87.1,71.1,,76,,ValdMa00,3.625,5.25625
Albert Wilson,232,MIA,WR,27,13,4,1,2,20,0,0,5,45,9.0,0,62,43,351,8.16,1,0,0,1,,,46.0,89.4,92.4,67.9,,89,,WilsAl02,3.5384615384615383,6.876923076923077
Ted Ginn Jr.,198,NOR,WR,34,16,9,0,0,0,0,0,3,18,6.0,0,56,30,421,14.03,2,0,0,2,,,56.0,85.9,88.9,70.9,,78,,GinnTe00,3.5,5.36875
Keke Coutee,277,HOU,WR,22,9,4,0,0,0,0,0,2,14,7.0,1,36,22,254,11.55,0,1,1,1,,,31.0,52.8,56.8,41.8,,108,,CoutKe00,3.4444444444444446,5.866666666666666
Keelan Cole,201,JAX,WR,26,16,1,0,0,0,0,0,1,6,6.0,0,35,24,361,15.04,3,0,0,3,,,55.0,78.7,81.7,66.7,,80,,ColeKe00,3.4375,4.91875
Alex Erickson,207,CIN,WR,27,16,6,1,1,26,0,0,5,33,6.6,0,78,43,529,12.3,0,4,2,0,,,53.0,96.2,101.2,74.7,,82,,EricAl01,3.3125,6.0125
Isaiah Ford,295,MIA,WR,23,8,0,0,0,0,0,0,1,11,11.0,0,35,23,244,10.61,0,0,0,0,,,26.0,48.5,51.5,37.0,,123,,FordIs00,3.25,6.0625
Russell Gage,217,ATL,WR,23,16,4,0,0,0,0,0,4,12,3.0,0,74,49,446,9.1,1,1,1,1,,,50.0,98.8,102.8,74.3,,84,,GageRu00,3.125,6.175
David Moore,238,SEA,WR,24,14,1,0,0,0,0,0,3,25,8.33,0,34,17,301,17.71,2,2,1,2,,,43.0,59.6,63.6,51.1,,90,,MoorDa03,3.0714285714285716,4.257142857142857
Olabisi Johnson,224,MIN,WR,22,16,6,0,0,0,0,0,1,6,6.0,0,45,31,294,9.48,3,0,0,3,,,48.0,79.0,82.0,63.5,,87,,JohnOl00,3.0,4.9375
Marquise Goodwin,296,SFO,WR,29,9,6,0,0,0,0,0,1,15,15.0,0,21,12,186,15.5,1,0,0,1,,,26.0,38.1,41.1,32.1,,120,,GoodMa00,2.888888888888889,4.233333333333333
Bennie Fowler,317,NYG,WR,28,8,2,0,0,0,0,0,1,20,20.0,0,36,23,193,8.39,0,0,0,0,1.0,,23.0,46.3,49.3,34.8,,130,,FowlBe00,2.875,5.7875
