"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Adam Hadwin",401148241,"A. Hadwin",5548,63.5,3,55.3,38.8,"WGC-HSBC Champions",2020,46,1,0,67.5,94.1,0,1,"Sheshan International - Shanghai, China",55,9,0,64,2019-11-03,NA,NA,NA,NA,NA,NA,NA,NA,"46"
"Adam Hadwin",401148243,"A. Hadwin",5548,67.5,0,57.5,20.8,"The RSM Classic",2020,68,0,0,67.5,78.3,0,1,"Sea Island - Sea Island, GA",63,3,0,66,2019-11-24,"T68","-2",-0.77,-0.35,-0.71,0.89,-0.17,-0.94,"68"
"Adam Hadwin",401155421,"A. Hadwin",5548,64,3,60.6,5.2,"Waste Management Phoenix Open",2020,40,2,1,69,66.8,0,1,"TPC Scottsdale - Scottsdale, AZ",72,3,0,75,2020-02-01,"T40","-6",0.15,0.85,-0.43,0.14,0.56,0.72,"40"
"Adam Hadwin",401155422,"A. Hadwin",5548,47.5,0,41.4,20.2,"AT&T Pebble Beach Pro-Am",2020,NA,0,0,47.5,61.6,0,0,"Spyglass Hill - Pebble Beach, CA",47,3,0,50,2020-02-08,"CUT","-1",0.51,-0.99,1.09,0.34,0.45,0.96,"-"
"Adam Hadwin",401155423,"A. Hadwin",5548,60,3,55.9,15.2,"The Genesis Invitational",2020,26,3,2,66,73.1,0,1,"Riviera - Pacific Palisades, CA",64,3,0,67,2020-02-15,"T26","-3",0.74,0.6,0.08,-0.43,0.26,0.99,"26"
"Adam Hadwin",401155459,"A. Hadwin",5548,71.5,3,63.7,21,"Charles Schwab Challenge",2020,43,1,0,75.5,84.7,0,1,"Colonial - Ft. Worth, TX",63,6,0,69,2020-06-14,"T43","-4",0.42,-0.66,0.66,0.02,0.02,0.44,"43"
"Adam Hadwin",401155460,"A. Hadwin",5548,86,11,84.4,26.5,"Rocket Mortgage Classic",2020,4,16,16,113,126.9,0,1,"Detroit Golf Club - Detroit, MI",84,13,10,107,2020-07-05,"T4","-16",0.66,0.46,0.7,0.21,1.37,2.03,"4"
"Adam Hadwin",401155461,"A. Hadwin",5548,52.5,0,37.1,16.2,"The Memorial Tournament pres. by Nationwide",2020,54,0,0,52.5,53.3,0,1,"Muirfield Village - Dublin, OH",48,0,0,48,2020-07-19,"T54","9",-0.21,0.49,-0.1,-0.25,0.14,-0.07,"54"
"Adam Hadwin",401155467,"A. Hadwin",5548,44,0,34,11.2,"WGC-FedEx St. Jude Classic",2020,72,0,0,44,45.2,0,1,"TPC Southwind, Memphis, TN",48,0,0,48,2020-08-02,"T72","8",-2.04,0.25,0.16,-0.82,-0.41,-2.45,"72"
"Adam Hadwin",401155474,"A. Hadwin",5548,32.5,0,28.1,14.6,"The Northern Trust",2020,NA,0,0,32.5,42.7,0,0,"TPC Boston - Norton, MA",29,3,0,32,2020-08-23,"CUT","E",0.08,0.25,-1.87,-0.03,-1.65,-1.57,"-"
