,schedule_season,team_home,team_away,team_favorite_id,spread_favorite,score_home,score_away,Favourite_Win,Favourtie_Cover,H_or_W_Win
12303,2018,WAS,HOU,HOU,3.0,21.0,23.0,favew,not_covered,awayw
12304,2018,LAR,KC,LAR,3.0,54.0,51.0,favew,PUSH,homew
12305,2018,DAL,WAS,DAL,7.0,31.0,23.0,favew,covered,homew
12306,2018,DET,CHI,CHI,3.0,16.0,23.0,favew,covered,awayw
12307,2018,NO,ATL,NO,11.5,31.0,17.0,favew,covered,homew
12308,2018,BAL,OAK,BAL,13.0,34.0,17.0,favew,covered,homew
12309,2018,BUF,JAX,JAX,3.0,24.0,21.0,favel,not_covered,homew
12310,2018,CAR,SEA,CAR,3.0,27.0,30.0,favel,not_covered,awayw
12311,2018,CIN,CLE,CLE,1.0,20.0,35.0,favew,covered,awayw
12312,2018,DEN,PIT,PIT,3.0,24.0,17.0,favel,not_covered,homew
12313,2018,IND,MIA,IND,9.0,27.0,24.0,favew,not_covered,homew
12314,2018,LAC,ARI,LAC,14.0,45.0,10.0,favew,covered,homew
12315,2018,MIN,GB,MIN,3.5,24.0,17.0,favew,covered,homew
12316,2018,NYJ,NE,NE,13.0,13.0,27.0,favew,covered,awayw
12317,2018,PHI,NYG,PHI,4.5,25.0,22.0,favew,not_covered,homew
12318,2018,TB,SF,TB,1.5,27.0,9.0,favew,covered,homew
12319,2018,HOU,TEN,HOU,3.5,34.0,17.0,favew,covered,homew
12320,2018,DAL,NO,NO,7.5,13.0,10.0,favel,not_covered,homew
12321,2018,ATL,BAL,ATL,2.5,16.0,26.0,favel,not_covered,awayw
12322,2018,CIN,DEN,DEN,4.0,10.0,24.0,favew,covered,awayw
12323,2018,DET,LAR,LAR,10.5,16.0,30.0,favew,covered,awayw
